track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
29x9jxkl6ESKOdxETtbMwT,"Violin Concerto No. 3 in F Major, RV 293 ""Autumn"": II. Largo",Antonio Vivaldi;Renato Fasano;Luigi Ferro;I virtuosi di Roma,0,145653,0,0.344,0.0258,2,-34.634,1,0.0392,0.637,0.322,0.0845,0.0355,116.868,4,0
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,85,238640,1,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,1
4fhLBWSTK9UeGiDQST7bxP,Rus,Lill Lindfors,35,241413,0,0.684,0.697,7,-10.563,1,0.0533,0.445,0.000138,0.11,0.895,118.446,4,0
4jhYsGCaG4i30sGOct8Xhn,Enchanted Valley,Aine Minogue,22,269706,0,0.306,0.0955,7,-18.601,0,0.0437,0.978,0.917,0.0876,0.0831,85.495,4,0
2xXAcD0zzapYgSl5z1A847,Si Supieras,Daddy Yankee;Wisin & Yandel,9,241880,0,0.691,0.894,9,-1.681,0,0.115,0.291,0.0,0.104,0.623,184.018,4,0
2wvMF4tLWrNRA9cM5fUuN0,She Doesn't Mind,Sean Paul,1,229786,0,0.709,0.795,7,-4.765,0,0.0713,0.000503,1.08e-05,0.222,0.597,120.01,4,0
2uZfcsHrP8s2UjaGqkCcHH,"If You're on the Floor, then Dance!",Cody;Heart;Mr. Primm;Scatter;The Mowgli's,8,143783,0,0.914,0.672,4,-6.035,1,0.0475,0.47,0.0,0.138,0.807,111.013,4,0
1kviWHelXoHyPKUI9vcNBl,Kadhal Murivu,Buggimaan;Malini,35,242193,0,0.622,0.843,9,-5.205,0,0.15,0.616,2.21e-06,0.104,0.607,83.949,4,0
4AtooSYrtsk66Fr8FT1rHw,Rainbow Roller-Coaster,Acoustic Syndicate,20,296200,0,0.694,0.558,7,-9.534,1,0.0359,0.766,0.0251,0.173,0.58,96.833,4,0
20G3uusQFoaVtrz22X0AP0,Pródigo,Casa Worship;Léo Brandão;MOVER,43,320602,0,0.545,0.613,6,-8.874,1,0.0273,0.111,5.53e-06,0.0943,0.16,83.17,4,0
1Cls464Epr7JDUxwyEbQEg,Amor No Te Guardo Rencor,Sonia Rivas,28,172706,0,0.701,0.548,5,-10.52,1,0.0315,0.367,0.0,0.235,0.842,119.938,4,0
7InaXrvag0nYTncPA1Iitl,Si No Te Quisiera,Juan Magán;Belinda;Lapiz Conciente,0,185480,0,0.705,0.874,0,-2.514,0,0.0723,0.17,0.0,0.0669,0.788,128.02,4,0
